Lemma	Abs. freq. in annotations	Rel. Freq. in annotations	Rel. Freq. in full text	Difference	Comparison
el	728	0,07516778523489932	0,07720895859672268	0,9735629984017166	Lower
e	478	0,04935467217346412	0,02448528378865334	2,015687161295449	Higher
que	449	0,046360351058337634	0,04788036474461159	0,968253924246786	Lower
ser	325	0,03355704697986577	0,035494194746260636	0,9454235324890996	Lower
de	301	0,03107898812596799	0,03509720211810836	0,8855118428352676	Lower
por	195	0,020134228187919462	0,016078201440167104	1,2522686858257326	Higher
en	184	0,018998451213216312	0,018322736683951114	1,0368784718637067	Higher
no	152	0,015694372741352606	0,013873365459198319	1,1312592310431009	Higher
̃	122	0,012596799173980383	0,012783162626503228	0,9854211780004691	Lower
decir	119	0,012287041817243159	0,00971105044249409	1,2652639269050565	Higher
haber	115	0,011874032008260196	0,012144920632012264	0,977695315435982	Lower
este	100	0,010325245224574084	0,009668297390231539	1,067948658158395	Higher
ca	97	0,010015487867836861	0,009103346342476379	1,1001984864735306	Higher
su	96	0,00991223541559112	0,010312646963617153	0,9611727668523243	Lower
a	94	0,00970573051109964	0,017632580268855624	0,5504430073823536	Lower
hacer	93	0,009602478058853899	0,007023715728847927	1,3671507261340936	Higher
saber	79	0,008156943727413527	0,00848037329522204	0,9618613996637697	Lower
deber	73	0,007537429013939081	0,006419065418277541	1,174225299601579	Higher
del_de+del_el	66	0,006814661848218895	0,005921297738363535	1,1508730263751705	Higher
si	65	0,006711409395973154	0,00567088700368287	1,1834849454088103	Higher
así	62	0,006401652039235932	0,00780243203791585	0,8204687984627306	Lower
rey	60	0,00619514713474445	0,004296681752386537	1,4418445423153425	Higher
ni	59	0,006091894682498709	0,003762268599104629	1,6192078056172017	Higher
todo	58	0,005988642230252968	0,009118615289713005	0,6567490830552905	Lower
lo	58	0,005988642230252968	0,006669476152958206	0,8979179313200997	Lower
donde	57	0,005885389778007228	0,005392992163976278	1,0913032318719156	Higher
bien	57	0,005885389778007228	0,005206711007689442	1,1303469252116145	Higher
et	55	0,005678884873515746	1,2215157789300744e-05	464,9047496128033	Higher
más	52	0,005369127516778523	0,004705889538328112	1,140937855223445	Higher
le	51	0,0052658750645327825	0,004748642590590664	1,1089221738791215	Higher
bueno	51	0,0052658750645327825	0,003960764913180766	1,3295096224996408	Higher
delos_de+delos_el	50	0,005162622612287042	0,0026812271347515133	1,9254700750167872	Higher
poder	49	0,005059370160041301	0,006590077627327751	0,7677254269450623	Lower
uno	47	0,00485286525554982	0,005090667008691084	0,9532867200437043	Lower
muy	46	0,004749612803304078	0,005054021535323182	0,9397690077314562	Lower
dios	46	0,004749612803304078	0,0030476818684305354	1,558434576949459	Higher
con	45	0,004646360351058337	0,004669244064960209	0,9950990538118151	Lower
hombre	43	0,004439855446566856	0,006012911421783291	0,7383869701593072	Lower
mucho	43	0,004439855446566856	0,004931869957430175	0,900237736373793	Lower
cosa	42	0,004336602994321115	0,0062694297353586064	0,6917061323557628	Lower
grande	42	0,004336602994321115	0,0034263517598988585	1,2656619338024786	Higher
al_a+al_el	42	0,004336602994321115	0,003353060813163054	1,2933266755249373	Higher
malo	40	0,004130098089829634	0,0017773054583432582	2,3237975613261024	Higher
dar	38	0,0039235931853381515	0,0034049752337675823	1,1523118131454724	Higher
o	38	0,0039235931853381515	0,006046503105703868	0,6489028644733342	Lower
2	38	0,0039235931853381515	0,0042356059634400325	0,9263357401998571	Lower
dela_de+dela_el	35	0,0036138358286009293	0,0032339630247173717	1,1174635581731045	Higher
